,text_agent,category_agent,sub-category_agent,speaker_customer,text_customer,clean _text_custumer,cleaned_text_of_custumer_for_clusters,cluster_for_custumer,clean_text_agent_corpus
0,hi!,product_defect,return_size,customer,"hi! i need to return an item, can you help me with that?",hi i need to return an item can you help me with that,hi i need to return an item can you help me with that,333,hi
1,how can i help you?,product_defect,return_size,customer,crystal minh,crystal minh,crystal minh,35,how can i help you
2,"sure, may i have your name please?",product_defect,return_size,customer,i got the wrong size.,i got the wrong size,i got the wrong size,74,sure may i have your name please
3,"thanks, may i ask the reason for the return?",product_defect,return_size,customer,username: <username>,username username,username username,6,thanks may i ask the reason for the return
4,"ok, may i have your username, email address and order id please?",product_defect,return_size,customer,<email>,email,email,43,ok may i have your username email address and order id please
5,thanks so much! what is your membership level crystal?,product_defect,return_size,customer,order id: <order_id>,order id order_id,order id order_id,124,thanks so much what is your membership level crystal
6,"ok, was the purchase made in the last 90 days?",product_defect,return_size,customer,i'm a bronze,im a bronze,im a bronze,18,ok was the purchase made in the last days
7,"ok, unfortunately because it has been more than 90 days we cannot accept the return. would there be anything else i can help you with?",product_defect,return_size,customer,"no, i bought it in november.",no i bought it in november,no i bought it in november,277,ok unfortunately because it has been more than days we cannot accept the return would there be anything else i can help you with
8,i can escalate to my manager if you'd like,product_defect,return_size,customer,"what if i ask really, really nicely?",what if i ask really really nicely,what if i ask really really nicely,213,i can escalate to my manager if youd like
9,i'd just need your phone number.,product_defect,return_size,customer,<phone>,phone,phone,163,id just need your phone number
10,"ok, i have let my manager know, they will give you a call. sorry i couldn't be of more assistance!",product_defect,return_size,customer,i'll look forward to hearing from them.,ill look forward to hearing from them,ill look forward to hearing from them,148,ok i have let my manager know they will give you a call sorry i couldnt be of more assistance
11,have a great night!,product_defect,return_size,customer,thanks for trying to help.,thanks for trying to help,thanks for trying to help,86,have a great night
12,"good afternoon, how can i help you?",product_defect,refund_status,customer,that's it. take care.,thats it take care,thats it take care,417,good afternoon how can i help you
13,"sure, would you give me your full name or account id",product_defect,refund_status,customer,just wanted to check on the status of a refund,just wanted to check on the status of a refund,just wanted to check on the status of a refund,412,sure would you give me your full name or account id
14,additional to this you would give me the order id and email,product_defect,refund_status,customer,alessandro phoenix,alessandro phoenix,alessandro phoenix,28,additional to this you would give me the order id and email
15,please,product_defect,refund_status,customer,<username>,username,username,305,please
16,"everything in order, soon i will indicate the status of your refund.",product_defect,refund_status,customer,<order_id>,order_id,order_id,3,everything in order soon i will indicate the status of your refund
17,it is currently in progress and the payment method with which it is being processed is online towards your credit card.,product_defect,refund_status,customer,<email>,email,email,43,it is currently in progress and the payment method with which it is being processed is online towards your credit card
18,less than a week,product_defect,refund_status,customer,no worries,no worries,no worries,416,less than a week
19,a pleasure to help you,product_defect,refund_status,customer,great,great,great,31,a pleasure to help you
20,have a nice day,product_defect,refund_status,customer,let me know,let me know,let me know,288,have a nice day
21,"good afternoon, how can i help you?",storewide_query,timing_4,customer,how much long till it is refunded,how much long till it is refunded,how much long till it is refunded,292,good afternoon how can i help you
22,sure!  let me check that.,storewide_query,timing_4,customer,great thanks for your help,great thanks for your help,great thanks for your help,326,sure let me check that
23,one moment please,storewide_query,timing_4,customer,hey ho!,hey ho,hey ho,84,one moment please
24,cats deserve to look good too,storewide_query,timing_4,customer,i've got a promo code and i want to know when they expire.,ive got a promo code and i want to know when they expire,ive got a promo code and i want to know when they expire,383,cats deserve to look good too
25,"ok, just to verify you already tried to use the code?",storewide_query,timing_4,customer,i'd like to use it to buy some hats for my cat.,id like to use it to buy some hats for my cat,id like to use it to buy some hats for my cat,330,ok just to verify you already tried to use the code
26,"ok, sorry for the doubt and i will answer your question.",storewide_query,timing_4,customer,some people think it's funny to put hats on cats...i do not feel that way.,some people think its funny to put hats on catsi do not feel that way,some people think its funny to put hats on catsi do not feel that way,123,ok sorry for the doubt and i will answer your question
27,one moment please,storewide_query,timing_4,customer,exactly!,exactly,exactly,17,one moment please
28,"ok, all promo codes expire after 7 days without fail.",storewide_query,timing_4,customer,"no, i just want to see how long they last for.",no i just want to see how long they last for,no i just want to see how long they last for,292,ok all promo codes expire after days without fail
29,not problem! a pleasure to help you and your cat too,storewide_query,timing_4,customer,perfect. thanks,perfect thanks,perfect thanks,364,not problem a pleasure to help you and your cat too
30,have a nice day,storewide_query,timing_4,customer,"that's all, have a great day! don't forget to spay or neuter your pet!",thats all have a great day dont forget to spay or neuter your pet,thats all have a great day dont forget to spay or neuter your pet,118,have a nice day
31,i won't,storewide_query,timing_4,customer,"hello, i would like to change my shipping deatails as they have changed recently due to a move",hello i would like to change my shipping deatails as they have changed recently due to a move,hello i would like to change my shipping deatails as they have changed recently due to a move,391,i wont
32,welcome to acmebrands! how can i help you?,shipping_issue,manage,customer,yes my order id is <order_id>,yes my order id is order_id,yes my order id is order_id,108,welcome to acmebrands how can i help you
33,i would be happy to help you with that,shipping_issue,manage,customer,crystal minh,crystal minh,crystal minh,35,i would be happy to help you with that
